Index,Name
0,Aydın
1,İzmir
2,Manisa
3,Muğla
4,Denizli
5,Antalya
6,Burdur
7,Isparta
8,Uşak
9,Afyonkarahisar
10,Karaman
11,Konya
12,Çanakkale
13,Balıkesir
14,Edirne
15,Tekirdağ
16,Kırklareli
17,Bursa
18,Yalova
19,Kütahya
20,Eskişehir
21,Bilecik
22,Kocaeli
23,Sakarya
24,İstanbul
25,Bolu
26,Ankara
27,Kırıkkale
28,Çankırı
29,Düzce
30,Zonguldak
31,Bartın
32,Karabük
33,Antakya
34,Mersin
35,Adana
36,Osmaniye
37,Aksaray
38,Niğde
39,Nevşehir
40,Kırşehir
41,Kayseri
42,Kilis
43,Gaziantep
44,Kahramanmaraş
45,Şanlıurfa
46,Adıyaman
47,Malatya
48,Elazığ
49,Mardin
50,Diyarbakır
51,Batman
52,Siirt
53,Tunceli
54,Bingöl
55,Bitlis
56,Muş
57,Şırnak
58,Hakkâri
59,Van
60,Yozgat
61,Çorum
62,Amasya
63,Tokat
64,Kastamonu
65,Sinop
66,Samsun
67,Sivas
68,Ordu
69,Giresun
70,Erzincan
71,Gümüşhane
72,Bayburt
73,Erzurum
74,Trabzon
75,Rize
76,Artvin
77,Ağrı
78,Kars
79,Iğdır
80,Ardahan
